title,page_layout,meta_keywords,meta_description,identifier,content_heading,content,is_active,sort_order,layout_update_xml,custom_theme,custom_root_template,custom_layout_update_xml,custom_theme_from,custom_theme_to
About us - DE,1column,,,about-us,Über Luma,"<div class=""about-info cms-content"">
      <p class=""cms-content-important"">Luma ist ein landesweit anerkannter Hersteller und Händler von Sportbekleidung mit über 230 Filialen in 43 Bundesstaaten. Ein aktiver Lebensstil ist unsere Leidenschaft – und das längst nicht nur in puncto Kleidung. </p>
      <p>Bei Luma ist Wellness eine Lebensart. Wir sind davon überzeugt, dass Alter, Geschlecht oder Vergangenes nicht das sind, was einen Menschen ausmacht – sondern nur sein Ehrgeiz und das Streben nach Ganzheit ... im Hier und Jetzt.</p>
      <p>Wir sind sehr einfach an der Kombination von einzigartigem Design und Stil vermischt mit höchsten Qualitätstandards und Authentizität zu erkennen. Unsere Gründer praktizieren Yoga, Laufen viel und leben sehr gesundheitsbewusst. Unser Produktsortiment richtet sich sowohl an Amateure als auch an Profisportler.</p>
      <ul style=""list-style: none; margin-top: 20px; padding: 0;"">
          <li><a href=""{{store url=""contact""}}"">in Verbindung Treten</a></li>
          <li><a href=""{{store url=""customer-service""}}"">Kundenservice</a></li>
          <li><a href=""{{store url=""privacy-policy""}}"">Luma Datenschutzerklärung</a></li>
          <li><a href=""{{store url=""""}}"">Luma Stöbern</a></li>
      </ul>
  </div>
",1,,,,,,,
Privacy Policy - DE,1column,,,privacy-policy-cookie-restriction-mode,Datenschutzerklärung,"<div class=""privacy-policy cms-content"">
    <div class=""privacy-policy-content"">
        <p>Diese Website („Website“) wird von Luma Inc. betrieben, wozu auch Luma-Filialen und Luma-Privatverkäufe zählen. Diese Datenschutzerklärung gilt nur für auf dieser Website erfasste Informationen und gilt nicht für offline durch Luma erfasste Informationen. Zum gegenwärtigen Zeitpunkt gilt diese Datenschutzerklärung für alle Luma-Websites.</p>
        <h2 id=""privacy-policy-title-1"">Luma Security</h2>
        <p>Auf der Website zur Verfügung gestellte persönliche Daten und Online-Kreditkartentransaktionen werden über einen sicheren Server übermittelt. Wir setzen uns dafür ein, Ihre persönlichen Daten unter Einsatz höchster Standards der Informationssicherheit zu verarbeiten. Wir unternehmen entsprechende physische, elektronische und administrative Schritte zur Aufrechterhaltung der Sicherheit und Korrektheit von uns erfasster personenbezogener Daten. Zu diesem Zweck begrenzen wir unter anderem die Anzahl der Personen, die physischen Zugriff auf unsere Datenbankserver haben, und setzen elektronische Sicherheitssysteme sowie elektronischen Passwortschutz ein, um die Daten vor unbefugtem Zugriff zu schützen.</p>
        <p>Unsere Websites verwenden eine Verschlüsselungstechnologie wie Secure Sockets Layer (SSL), um Ihre persönlichen Daten während des Datentransports zu schützen. SSL verschlüsselt Bestellinformationen wie Ihren Namen, Ihre Adresse und Ihre Kreditkartennummer. Unser Kundenbetreuungscenter und unsere Filialen setzen ebenfalls ein privates, sicheres Netzwerk ein. Bitte beachten Sie, dass E-Mail nicht verschlüsselt wird und nicht als sichere Methode zur Übermittlung von Kreditkartendaten gilt.</p>
        <h2 id=""privacy-policy-title-2"">Luma Datenschutzerklärung</h2>
        <p>Zum Erreichen unseres Ziels, die qualitativ hochwertigsten Produkte und Services bereitzustellen, verwenden wir Informationen aus unseren Interaktionen mit Ihnen und anderen Kunden sowie Informationen von Dritten. Da wir Ihre Privatsphäre respektieren, haben wir Verfahren eingeführt, um zu gewährleisten, dass Ihre persönlichen Daten sicher und verantwortungsvoll verarbeitet werden. Wir haben diese Datenschutzerklärung veröffentlicht, um unsere Methoden der Informationserfassung sowie Ihre Möglichkeiten der Einflussnahme auf die Erfassung und Nutzung von Daten zu erläutern.</p>
        <p>Angesichts der beständigen Weiterentwicklung der Luma-Website sowie der Nutzung technologischer Fortschritte zur Verbesserung der von uns angebotenen Services sind künftige Änderungen dieser Datenschutzerklärung wahrscheinlich. Wir empfehlen Ihnen daher, diese Datenschutzerklärung regelmäßig auf Updates zu überprüfen, um über unsere jeweils aktuellsten Datenschutzrichtlinien informiert zu sein.</p>
